IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2240,"{34, 5, 14, 17, 31}","{33, 35, 3, 37, 5, 8, 40, 41, 15, 23, 24, 29}",1,[5],3,False
2241,"{33, 10, 11, 25, 27}","{35, 3, 37, 40, 9, 41, 8, 12, 15, 16, 21, 23, 24, 29}",1,[],16,True
2242,"{38, 39, 7, 9, 17}","{2, 3, 37, 6, 39, 40, 9, 41, 8, 12, 42, 16, 21, 23, 24, 29}",3,"[9, 39]",9,True
2243,"{33, 37, 23, 26, 27}","{32, 2, 3, 37, 6, 40, 41, 42, 12, 16, 20, 21, 22, 24, 29, 30}",1,[37],3,False
2244,"{5, 9, 43, 13, 22}","{32, 2, 3, 6, 40, 41, 42, 13, 16, 20, 21, 24, 28, 29, 30}",2,[13],12,True
2245,"{34, 4, 9, 30, 31}","{32, 2, 3, 36, 34, 6, 40, 41, 42, 12, 14, 16, 20, 21, 24, 28, 29, 30}",2,"[34, 30]",16,False
2246,"{33, 38, 41, 14, 16}","{32, 2, 36, 6, 40, 41, 42, 11, 12, 14, 16, 20, 21, 24, 28}",3,"[16, 41, 14]",10,False
2247,"{32, 33, 14, 19, 21}","{32, 2, 36, 6, 7, 11, 12, 19, 20, 21, 28}",4,"[32, 19, 21]",1,True
2248,"{32, 11, 14, 28, 29}","{2, 36, 37, 6, 7, 11, 12, 22, 25, 27, 28}",2,"[11, 28]",3,False
2249,"{35, 6, 9, 41, 28}","{2, 36, 5, 37, 7, 6, 12, 25, 26, 27}",1,[6],7,False
2250,"{33, 2, 43, 15, 23}","{2, 34, 36, 37, 5, 7, 43, 12, 22, 25, 26, 27, 30}",3,"[2, 43]",4,True
2251,"{1, 39, 40, 10, 12}","{34, 4, 37, 5, 7, 39, 38, 13, 17, 22, 25, 26, 27, 30}",2,[39],14,True
2252,"{39, 24, 27, 30, 31}","{34, 4, 37, 38, 7, 5, 13, 16, 17, 22, 25, 26, 27, 30, 31}",3,"[27, 30, 31]",12,False
2253,"{37, 7, 40, 9, 23}","{34, 4, 37, 38, 7, 5, 11, 13, 14, 16, 17, 21, 22, 25, 26, 29}",2,"[37, 7]",14,False
