IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2234,"{1, 36, 39, 7, 20}","{32, 6, 7, 8, 9, 38, 16, 18, 20, 26, 29}",2,"[20, 7]",14,False
2235,"{2, 36, 5, 14, 30}","{32, 6, 38, 8, 9, 43, 11, 16, 18, 22, 26, 29}",0,[],12,False
2236,"{32, 33, 40, 41, 18}","{38, 11, 43, 15, 16, 18, 22, 23, 29, 31}",1,[18],10,False
2237,"{5, 9, 11, 20, 30}","{34, 38, 6, 42, 11, 43, 12, 10, 15, 16, 22, 23, 24, 29, 31}",2,[11],4,True
2238,"{33, 5, 43, 15, 19}","{34, 3, 38, 42, 10, 12, 15, 16, 17, 22, 23, 24, 31}",1,[15],8,False
2239,"{1, 8, 17, 20, 30}","{34, 3, 36, 35, 38, 39, 42, 10, 12, 16, 17, 22, 23, 24, 31}",1,[17],9,False
2240,"{2, 7, 43, 12, 26}","{34, 35, 3, 38, 39, 7, 42, 10, 12, 16, 23, 24, 31}",2,"[12, 7]",4,False
2241,"{6, 39, 41, 21, 26}","{32, 34, 35, 3, 39, 40, 42, 10, 16, 23, 24, 31}",1,[39],15,False
2242,"{5, 9, 16, 25, 26}","{32, 34, 35, 3, 36, 37, 40, 9, 42, 10, 23, 24}",1,[9],10,False
2243,"{4, 43, 24, 25, 26}","{32, 33, 35, 36, 37, 40, 42, 10, 14, 23, 24}",2,[24],3,True
2244,"{6, 43, 11, 18, 28}","{32, 33, 36, 37, 40, 8, 42, 10, 14, 18, 19, 23, 30}",1,[18],4,False
2245,"{38, 8, 20, 21, 29}","{32, 33, 36, 37, 8, 40, 42, 10, 12, 14, 15, 19, 23, 30}",2,[8],11,True
2246,"{35, 6, 12, 15, 16}","{32, 1, 33, 36, 37, 7, 41, 42, 10, 12, 14, 15, 17, 19, 30}",2,"[12, 15]",3,False
2247,"{34, 5, 11, 12, 13}","{1, 2, 33, 37, 5, 7, 39, 41, 9, 14, 17, 19, 26, 28}",1,[5],3,False
2248,"{5, 17, 21, 24, 28}","{1, 2, 37, 7, 39, 9, 41, 14, 17, 19, 24, 26, 28, 30}",3,"[24, 17, 28]",10,False
2249,"{36, 4, 7, 21, 22}","{1, 2, 4, 37, 39, 7, 9, 41, 43, 14, 19, 25, 26, 30}",2,"[4, 7]",10,False
2250,"{36, 42, 14, 18, 24}","{1, 2, 37, 39, 8, 9, 41, 43, 14, 25, 26, 30}",1,[14],2,False
2251,"{34, 37, 42, 21, 26}","{2, 37, 6, 39, 8, 9, 41, 43, 38, 16, 25, 26, 30}",2,"[26, 37]",16,False
2252,"{33, 37, 40, 41, 31}","{2, 6, 38, 8, 39, 41, 43, 12, 9, 16, 20, 25, 28, 30}",1,[41],16,False
2253,"{36, 42, 16, 26, 27}","{2, 35, 5, 6, 38, 8, 39, 12, 13, 15, 16, 20, 25, 28, 29, 30}",2,[16],11,True
2254,"{1, 4, 9, 23, 24}","{35, 5, 6, 38, 8, 12, 13, 15, 20, 25, 28, 29}",0,[],13,False
2255,"{32, 33, 39, 14, 25}","{35, 5, 38, 7, 8, 6, 11, 12, 13, 15, 17, 20, 21, 25, 28, 29}",2,[25],12,True
2256,"{32, 1, 33, 12, 14}","{34, 35, 5, 38, 7, 8, 6, 11, 12, 13, 15, 17, 20, 21, 22, 28, 29}",2,[12],8,True
2257,"{33, 34, 40, 11, 17}","{5, 7, 8, 11, 13, 15, 17, 20, 21, 22, 26, 28, 29, 31, 34, 35, 36, 38, 40}",5,"[40, 17, 34, 11]",9,True
2258,"{17, 21, 22, 27, 29}","{5, 38, 7, 41, 13, 16, 18, 20, 22, 26, 28, 29, 31}",2,"[29, 22]",9,False
2259,"{4, 36, 8, 43, 21}","{7, 41, 9, 13, 16, 18, 24, 26, 28, 31}",0,[],8,False
2260,"{33, 35, 8, 9, 42}","{9, 41, 42, 13, 16, 18, 23, 24, 26, 31}",2,"[9, 42]",13,False
2261,"{6, 42, 11, 13, 16}","{32, 37, 39, 41, 12, 16, 18, 23, 24, 26, 31}",1,[16],12,False
2262,"{33, 38, 17, 20, 26}","{32, 37, 39, 40, 41, 12, 18, 23, 24, 25, 26, 31}",1,[26],1,False
